ICU rule-based number formatters: every rule set, formatting the number 2143

  This file is part of OmegaT, released under the GNU General Public License
  version 3 or (at your option) any later version. OmegaT is distributed
  WITHOUT ANY WARRANTY, without even the implied warranty of MERCHANTABILITY or
  FITNESS FOR A PARTICULAR PURPOSE - see the GNU General Public License for more
  details.

  Source      com.ibm.icu:icu4j 78.3, the version this build ships.
  Method      RuleBasedNumberFormat.getRuleSetNames() for the NUMBERING_SYSTEM,
              SPELLOUT and ORDINAL formatters of every available language, then
              format(2143) for each rule set.
  Caveat      The default locale is set to the root locale before asking. A
              language without rules of its own otherwise inherits the rules of
              the JVM default language, which makes it look as though Basque,
              say, spelled its numbers in German.
  Omitted     192 languages that have no rules of their own and fall back to the
              root rules, printing digits rather than words.
  Note        The numbering systems in the root locale are script-bound and
              locale-independent; OmegaT's NumeralValueParser reads eleven of
              them, and %spellout-numbering for zh, zh-Hant and ja.

 no.  locale    type       rule set                                 2143
  24  ak        spellout   %spellout-cardinal                       mpem-abien-na-­ɔha-na-­aduanan-abiasa
  25  ak        spellout   %spellout-numbering                      mpem-abien-na-­ɔha-na-­aduanan-abiasa
  26  ak        spellout   %spellout-numbering-year                 abien koro anan abiasa
  27  ak        spellout   %spellout-ordinal                        a-ɛ-tɔ-so-mpem-abien-na-­ɔha-na-­aduanan-abiasa
  28  ak        ordinal    %digits-ordinal                          2,143.
  29  am        spellout   %spellout-cardinal                       ሁለት ሺ መቶ አራት አስር ሦስት
  30  am        spellout   %spellout-numbering                      ሁለት ሺ መቶ አራት አስር ሦስት
  31  am        spellout   %spellout-numbering-year                 ሁለት አስር አንድ መቶ አራት አስር ሦስት
  32  am        spellout   %spellout-ordinal                        ሁለት ሺ መቶ አራት አስር ሦስትኛ
  33  am        ordinal    %digits-ordinal                          2,143ኛ
  34  ar        spellout   %spellout-cardinal-feminine              ألفي ومائة وثلاثة وأربعون
  35  ar        spellout   %spellout-cardinal-masculine             ألفي ومائة وثلاثة وأربعون
  36  ar        spellout   %spellout-numbering                      ألفين ومائة وثلاثة وأربعون
  37  ar        spellout   %spellout-numbering-year                 ألفين ومائة وثلاثة وأربعون
  38  ar        spellout   %spellout-ordinal-feminine               الألفي ومائة وثلاثة وأربعون
  39  ar        spellout   %spellout-ordinal-masculine              الألفي ومائة وثلاثة وأربعون
  40  ar        ordinal    %digits-ordinal                          2,143
  41  az        spellout   %spellout-cardinal                       iki min bir yüz qırx üç
  42  az        spellout   %spellout-numbering                      iki min bir yüz qırx üç
  43  az        spellout   %spellout-numbering-year                 iki min bir yüz qırx üç
  44  az        spellout   %spellout-ordinal                        iki bin bir yüz qırx üçüncü
  45  az        ordinal    %digits-ordinal                          2.143'inci
  46  az-Latn   spellout   %spellout-cardinal                       iki min bir yüz qırx üç
  47  az-Latn   spellout   %spellout-numbering                      iki min bir yüz qırx üç
  48  az-Latn   spellout   %spellout-numbering-year                 iki min bir yüz qırx üç
  49  az-Latn   spellout   %spellout-ordinal                        iki bin bir yüz qırx üçüncü
  50  az-Latn   ordinal    %digits-ordinal                          2.143'inci
  51  be        spellout   %spellout-cardinal-feminine              дзве тысячы сто сорак тры
  52  be        spellout   %spellout-cardinal-masculine             дзве тысячы сто сорак тры
  53  be        spellout   %spellout-cardinal-neuter                дзве тысячы сто сорак тры
  54  be        spellout   %spellout-numbering                      дзве тысячы сто сорак тры
  55  be        spellout   %spellout-numbering-year                 дзве тысячы сто сорак тры
  56  be        spellout   %spellout-ordinal-feminine               дзве тысячы сто сорак трэццяя
  57  be        spellout   %spellout-ordinal-masculine              дзве тысячы сто сорак трэйці
  58  be        spellout   %spellout-ordinal-neuter                 дзве тысячы сто сорак трэццяе
  59  be        ordinal    %digits-ordinal                          2 143.
  60  bg        spellout   %spellout-cardinal-feminine              две хиляди сто четиресет и три
  61  bg        spellout   %spellout-cardinal-feminine-financial    две хиляди сто четиридесет и три
  62  bg        spellout   %spellout-cardinal-masculine             две хиляди сто четиресет и три
  63  bg        spellout   %spellout-cardinal-masculine-financial   две хиляди сто четиридесет и три
  64  bg        spellout   %spellout-cardinal-masculine-personal    две хиляди сто четиресет и трима
  65  bg        spellout   %spellout-cardinal-masculine-personal-financial две хиляди сто четиримадесет и трима
  66  bg        spellout   %spellout-cardinal-neuter                две хиляди сто четиресет и три
  67  bg        spellout   %spellout-cardinal-neuter-financial      две хиляди сто четиридесет и три
  68  bg        spellout   %spellout-numbering                      две хиляди сто четиресет и три
  69  bg        spellout   %spellout-numbering-year                 две хиляди сто четиресет и три
  70  bg        spellout   %spellout-ordinal-feminine               две хиляди сто четиресет и трета
  71  bg        spellout   %spellout-ordinal-masculine              две хиляди сто четиресет и трети
  72  bg        spellout   %spellout-ordinal-neuter                 две хиляди сто четиресет и трето
  73  bg        ordinal    %digits-ordinal                          2 143-и
  74  bg        ordinal    %digits-ordinal-feminine                 2 143-а
  75  bg        ordinal    %digits-ordinal-masculine                2 143-и
  76  bg        ordinal    %digits-ordinal-neuter                   2 143-o
  77  bs        spellout   %spellout-cardinal-feminine              dve hiljada sto četrdeset tri
  78  bs        spellout   %spellout-cardinal-masculine             dve hiljada sto četrdeset tri
  79  bs        spellout   %spellout-cardinal-neuter                dve hiljada sto četrdeset tri
  80  bs        spellout   %spellout-numbering                      dve hiljada sto četrdeset tri
  81  bs        spellout   %spellout-numbering-year                 dve hiljada sto četrdeset tri
  82  bs        ordinal    %digits-ordinal                          2.143.
  83  bs-Latn   spellout   %spellout-cardinal-feminine              dve hiljada sto četrdeset tri
  84  bs-Latn   spellout   %spellout-cardinal-masculine             dve hiljada sto četrdeset tri
  85  bs-Latn   spellout   %spellout-cardinal-neuter                dve hiljada sto četrdeset tri
  86  bs-Latn   spellout   %spellout-numbering                      dve hiljada sto četrdeset tri
  87  bs-Latn   spellout   %spellout-numbering-year                 dve hiljada sto četrdeset tri
  88  bs-Latn   ordinal    %digits-ordinal                          2.143.
  89  ca        spellout   %spellout-cardinal-feminine              dues mil cent quaranta-tres
  90  ca        spellout   %spellout-cardinal-masculine             dos mil cent quaranta-tres
  91  ca        spellout   %spellout-numbering                      dos mil cent quaranta-tres
  92  ca        spellout   %spellout-numbering-year                 dos mil cent quaranta-tres
  93  ca        spellout   %spellout-ordinal-feminine               dos mils cent quaranta-tercera
  94  ca        spellout   %spellout-ordinal-feminine-plural        dos mil cent quaranta-tresenes
  95  ca        spellout   %spellout-ordinal-masculine              dos mil cent quaranta-tercer
  96  ca        spellout   %spellout-ordinal-masculine-plural       dos mil cent quaranta-tercers
  97  ca        ordinal    %digits-ordinal                          2.143è
  98  ca        ordinal    %digits-ordinal-feminine                 2.143a
  99  ca        ordinal    %digits-ordinal-feminine-plural          2.143es
 100  ca        ordinal    %digits-ordinal-masculine                2.143è
 101  ca        ordinal    %digits-ordinal-masculine-plural         2.143ns
 102  ccp       spellout   %spellout-cardinal                       𑄘𑄨 𑄦𑄎𑄢𑄴 𑄆𑄇𑄴𑄥𑄧 𑄌𑄣𑄨𑄨𑄌𑄴 𑄖𑄨𑄚𑄴
 103  ccp       spellout   %spellout-numbering                      𑄘𑄨 𑄦𑄎𑄢𑄴 𑄆𑄇𑄴𑄥𑄧 𑄌𑄣𑄨𑄨𑄌𑄴 𑄖𑄨𑄚𑄴
 104  ccp       spellout   %spellout-numbering-year                 𑄘𑄨 𑄦𑄎𑄢𑄴 𑄆𑄇𑄴𑄥𑄧 𑄌𑄣𑄨𑄨𑄌𑄴 𑄖𑄨𑄚𑄴
 105  ccp       spellout   %spellout-ordinal                        𑄘𑄨 𑄦𑄎𑄢𑄴 𑄆𑄇𑄴𑄥𑄧 𑄌𑄣𑄨𑄨𑄌𑄴 𑄖𑄨𑄚𑄴 𑄛𑄳𑄆𑄘𑄳𑄠𑄬
 106  ccp       ordinal    %digits-ordinal                          𑄸,𑄷𑄺𑄹.
 107  chr       spellout   %spellout-cardinal                       ꮤꮅ ꭲꮿꭶᏼꮅ ꮠꮼ ꮝꭺꭿꮵꮖ ꮕꭹꮝꭺ ꮶꭲ
 108  chr       spellout   %spellout-numbering                      ꮤꮅ ꭲꮿꭶᏼꮅ ꮠꮼ ꮝꭺꭿꮵꮖ ꮕꭹꮝꭺ ꮶꭲ
 109  chr       spellout   %spellout-numbering-year                 ꮤꮅ ꭲꮿꭶᏼꮅ ꮠꮼ ꮝꭺꭿꮵꮖ ꮕꭹꮝꭺ ꮶꭲ
 110  chr       ordinal    %digits-ordinal                          2,143.
 111  cs        spellout   %spellout-cardinal-feminine              dvě tisíce sto čtyřicet tři
 112  cs        spellout   %spellout-cardinal-masculine             dvě tisíce sto čtyřicet tři
 113  cs        spellout   %spellout-cardinal-neuter                dvě tisíce sto čtyřicet tři
 114  cs        spellout   %spellout-numbering                      dvě tisíce sto čtyřicet tři
 115  cs        spellout   %spellout-numbering-year                 dvě tisíce sto čtyřicet tři
 116  cs        ordinal    %digits-ordinal                          2 143.
 117  cy        spellout   %spellout-cardinal-feminine              dau mil un cant pedwar deg tair
 118  cy        spellout   %spellout-cardinal-feminine-before-consonant dau mil un cant pedwar deg tair
 119  cy        spellout   %spellout-cardinal-masculine             dau mil un cant pedwar deg tri
 120  cy        spellout   %spellout-cardinal-masculine-before-consonant dau mil un cant pedwar deg tri
 121  cy        spellout   %spellout-numbering                      dau mil un cant pedwar deg tri
 122  cy        spellout   %spellout-numbering-year                 dau mil un cant pedwar deg tri
 123  cy        ordinal    %digits-ordinal                          2,143.
 124  da        spellout   %spellout-cardinal-common                to tusinde hundrede og tre­og­fyrre
 125  da        spellout   %spellout-cardinal-neuter                to tusind hundrede og tre­og­fyrre
 126  da        spellout   %spellout-numbering                      to tusind hundrede og tre­og­fyrre
 127  da        spellout   %spellout-numbering-year                 en­og­tyve­hundrede og tre­og­fyrre
 128  da        spellout   %spellout-ordinal-common                 to tusind hundrede og tre­og­fyrrende
 129  da        spellout   %spellout-ordinal-neuter                 to tusind hundrede og tre­og­fyrrende
 130  da        ordinal    %digits-ordinal                          2.143.
 131  de        spellout   %spellout-cardinal-feminine              zwei­tausend­ein­hundert­drei­und­vierzig
 132  de        spellout   %spellout-cardinal-m                     zwei­tausend­ein­hundert­drei­und­vierzig
 133  de        spellout   %spellout-cardinal-masculine             zwei­tausend­ein­hundert­drei­und­vierzig
 134  de        spellout   %spellout-cardinal-n                     zwei­tausend­ein­hundert­drei­und­vierzig
 135  de        spellout   %spellout-cardinal-neuter                zwei­tausend­ein­hundert­drei­und­vierzig
 136  de        spellout   %spellout-cardinal-r                     zwei­tausend­ein­hundert­drei­und­vierzig
 137  de        spellout   %spellout-cardinal-s                     zwei­tausend­ein­hundert­drei­und­vierzig
 138  de        spellout   %spellout-numbering                      zwei­tausend­ein­hundert­drei­und­vierzig
 139  de        spellout   %spellout-numbering-year                 zwei­tausend­ein­hundert­drei­und­vierzig
 140  de        spellout   %spellout-ordinal                        zwei­tausend­ein­hundert­drei­und­vierzigste
 141  de        spellout   %spellout-ordinal-m                      zwei­tausend­ein­hundert­drei­und­vierzigstem
 142  de        spellout   %spellout-ordinal-n                      zwei­tausend­ein­hundert­drei­und­vierzigsten
 143  de        spellout   %spellout-ordinal-r                      zwei­tausend­ein­hundert­drei­und­vierzigster
 144  de        spellout   %spellout-ordinal-s                      zwei­tausend­ein­hundert­drei­und­vierzigstes
 145  de        ordinal    %digits-ordinal                          2.143.
 146  ee        spellout   %spellout-cardinal                       akpe eve alafa ɖeka blaene vɔ etɔ̃
 147  ee        spellout   %spellout-numbering                      akpe eve alafa ɖeka blaene vɔ etɔ̃
 148  ee        spellout   %spellout-numbering-year                 akpe eve alafa ɖeka blaene vɔ etɔ̃
 149  ee        spellout   %spellout-ordinal                        akpe eve alafa ɖeka blaene vɔ etɔ̃lia
 150  ee        ordinal    %digits-ordinal                          2,143 lia
 151  el        spellout   %spellout-cardinal-feminine              δύο χίλιάδες εκατόν σαράντα τρεις
 152  el        spellout   %spellout-cardinal-masculine             δύο χίλιάδες εκατόν σαράντα τρεις
 153  el        spellout   %spellout-cardinal-neuter                δύο χίλιάδες εκατόν σαράντα τρία
 154  el        spellout   %spellout-numbering                      δύο χίλιάδες εκατόν σαράντα τρία
 155  el        spellout   %spellout-numbering-year                 δύο χίλιάδες εκατόν σαράντα τρία
 156  el        spellout   %spellout-ordinal-feminine               δισχιλιοστή εκατοστή τεσσαρακοστή τρίτη
 157  el        spellout   %spellout-ordinal-masculine              δισχιλιοστός εκατοστός τεσσαρακοστός τρίτος
 158  el        spellout   %spellout-ordinal-neuter                 δισχιλιοστό εκατοστό τεσσαρακοστό τρίτο
 159  el        ordinal    %digits-ordinal                          2.143
 160  en        spellout   %spellout-cardinal                       two thousand one hundred forty-three
 161  en        spellout   %spellout-cardinal-verbose               two thousand one hundred and forty-three
 162  en        spellout   %spellout-numbering                      two thousand one hundred forty-three
 163  en        spellout   %spellout-numbering-verbose              two thousand one hundred and forty-three
 164  en        spellout   %spellout-numbering-year                 twenty-one forty-three
 165  en        spellout   %spellout-ordinal                        two thousand one hundred forty-third
 166  en        spellout   %spellout-ordinal-verbose                two thousand one hundred and forty-third
 167  en        ordinal    %digits-ordinal                          2,143rd
 168  eo        spellout   %spellout-cardinal                       du mil cent kvardek tri
 169  eo        spellout   %spellout-numbering                      du mil cent kvardek tri
 170  eo        spellout   %spellout-numbering-year                 du mil cent kvardek tri
 171  eo        spellout   %spellout-ordinal                        du mil cent kvardek tria
 172  eo        ordinal    %digits-ordinal                          2 143.
 173  es        spellout   %spellout-cardinal-feminine              dos mil ciento cuarenta y tres
 174  es        spellout   %spellout-cardinal-masculine             dos mil ciento cuarenta y tres
 175  es        spellout   %spellout-numbering                      dos mil ciento cuarenta y tres
 176  es        spellout   %spellout-numbering-year                 dos mil ciento cuarenta y tres
 177  es        spellout   %spellout-ordinal-feminine               dos milésima centésima cuadragésima tercera
 178  es        spellout   %spellout-ordinal-feminine-plural        dos milésima centésima cuadragésima terceras
 179  es        spellout   %spellout-ordinal-masculine              dos milésimo centésimo cuadragésimo tercero
 180  es        spellout   %spellout-ordinal-masculine-adjective    dos milésimo centésimo cuadragésimo tercer
 181  es        spellout   %spellout-ordinal-masculine-plural       dos milésimo centésimo cuadragésimo terceros
 182  es        ordinal    %digits-ordinal                          2.143.º
 183  es        ordinal    %digits-ordinal-feminine                 2.143.ª
 184  es        ordinal    %digits-ordinal-feminine-plural          2.143.ᵃˢ
 185  es        ordinal    %digits-ordinal-masculine                2.143.º
 186  es        ordinal    %digits-ordinal-masculine-adjective      2.143.ᵉʳ
 187  es        ordinal    %digits-ordinal-masculine-plural         2.143.ᵒˢ
 188  et        spellout   %spellout-cardinal                       kaks tuhat ükssada nelikümmend kolm
 189  et        spellout   %spellout-numbering                      kaks tuhat ükssada nelikümmend kolm
 190  et        spellout   %spellout-numbering-year                 kakskümmend üks sada nelikümmend kolm
 191  et        ordinal    %digits-ordinal                          2 143.
 192  fa        spellout   %spellout-cardinal                       دو هزار و صد و چهل و سه
 193  fa        spellout   %spellout-numbering                      دو هزار و صد و چهل و سه
 194  fa        spellout   %spellout-numbering-year                 دو هزار و صد و چهل و سه
 195  fa        ordinal    %digits-ordinal                          ۲٬۱۴۳.
 196  ff        spellout   %spellout-cardinal                       ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 197  ff        spellout   %spellout-cardinal-class-o               ujunere ɗiɗo e temedere gooto e cepanze nawo e tato
 198  ff        spellout   %spellout-numbering                      ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 199  ff        spellout   %spellout-numbering-year                 ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 200  ff        spellout   %spellout-ordinal                        ujunere ɗiɗaɓo e temedere arande e cepanze nawaɓo e tatiaɓo
 201  ff        ordinal    %digits-ordinal                          2 143.
 202  ff-Latn   spellout   %spellout-cardinal                       ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 203  ff-Latn   spellout   %spellout-cardinal-class-o               ujunere ɗiɗo e temedere gooto e cepanze nawo e tato
 204  ff-Latn   spellout   %spellout-numbering                      ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 205  ff-Latn   spellout   %spellout-numbering-year                 ujunere ɗiɗi e temedere goʼo e cepanze nawi e tati
 206  ff-Latn   spellout   %spellout-ordinal                        ujunere ɗiɗaɓo e temedere arande e cepanze nawaɓo e tatiaɓo
 207  ff-Latn   ordinal    %digits-ordinal                          2 143.
 208  fi        spellout   %spellout-cardinal                       kaksi­tuhatta­sata­neljä­kymmentä­kolme
 209  fi        spellout   %spellout-cardinal-ablative              kahdelta­tuhannelta­sadalta­neljältä­kymmeneltä­kolmelta
 210  fi        spellout   %spellout-cardinal-ablative-plural       kaksilta­tuhansilta­sadoilta­neljiltä­kymmeniltä­kolmilta
 211  fi        spellout   %spellout-cardinal-adessive              kahdella­tuhannella­sadalla­neljällä­kymmenellä­kolmella
 212  fi        spellout   %spellout-cardinal-adessive-plural       kaksilla­tuhansilla­sadoilla­neljillä­kymmenillä­kolmilla
 213  fi        spellout   %spellout-cardinal-allative              kahdelle­tuhannelle­sadalle­neljälle­kymmenelle­kolmelle
 214  fi        spellout   %spellout-cardinal-allative-plural       kaksille­tuhansille­sadoille­neljille­kymmenille­kolmille
 215  fi        spellout   %spellout-cardinal-elative               kahdesta­tuhannesta­sadasta­neljästä­kymmenestä­kolmesta
 216  fi        spellout   %spellout-cardinal-elative-plural        kaksista­tuhansista­sadoista­neljistä­kymmenistä­kolmista
 217  fi        spellout   %spellout-cardinal-essive                kahtena­tuhantena­satana­neljänä­kymmenenä­kolmena
 218  fi        spellout   %spellout-cardinal-essive-plural         kaksina­tuhansina­satoina­neljinä­kymmeninä­kolmina
 219  fi        spellout   %spellout-cardinal-genitive              kahden­tuhannen­sadan­neljän­kymmenen­kolmen
 220  fi        spellout   %spellout-cardinal-genitive-plural       kaksien­tuhansien­satojen­neljien­kymmenien­kolmien
 221  fi        spellout   %spellout-cardinal-illative              kahteen­tuhanteen­sataan­neljään­kymmeneen­kolmeen
 222  fi        spellout   %spellout-cardinal-illative-plural       kaksiin­tuhansiin­­satoihin­neljiin­kymmeniin­kolmiin
 223  fi        spellout   %spellout-cardinal-inessive              kahdessa­tuhannessa­sadassa­neljässä­kymmenessä­kolmessa
 224  fi        spellout   %spellout-cardinal-inessive-plural       kaksissa­tuhansissa­sadoissa­neljissä­kymmenissä­kolmissa
 225  fi        spellout   %spellout-cardinal-partitive             kahta­tuhatta­sataa­neljää­kymmentä­kolmea
 226  fi        spellout   %spellout-cardinal-partitive-plural      kaksia­tuhansia­satoja­neljiä­kymmeniä­kolmia
 227  fi        spellout   %spellout-cardinal-plural                kahdet­tuhannet­sadat­neljät-kymmenet­kolmet
 228  fi        spellout   %spellout-cardinal-translative           kahdeksi­tuhanneksi­sadaksi­neljäksi­kymmeneksi­kolmeksi
 229  fi        spellout   %spellout-cardinal-translative-plural    kaksiksi­tuhansiksi­sadoiksi­neljiksi­kymmeniksi­kolmiksi
 230  fi        spellout   %spellout-numbering                      kaksi­tuhatta­sata­neljä­kymmentä­kolme
 231  fi        spellout   %spellout-numbering-year                 kaksi­tuhatta­sata­neljä­kymmentä­kolme
 232  fi        spellout   %spellout-ordinal                        kahdes­tuhannes­sadas­neljäs­kymmenes­kolmas
 233  fi        spellout   %spellout-ordinal-ablative               kahdennelta­tuhannennelta­sadannelta­neljänneltä­kymmenenneltä­kolmannelta
 234  fi        spellout   %spellout-ordinal-ablative-plural        kahdennilta­tuhannennilta­sadannilta­neljänniltä­kymmenenniltä­kolmannilta
 235  fi        spellout   %spellout-ordinal-adessive               kahdennella­tuhannennella­sadannella­neljännellä­kymmenennellä­kolmannella
 236  fi        spellout   %spellout-ordinal-adessive-plural        kahdennilla­tuhannennilla­sadannilla­neljännillä­kymmenennillä­kolmannilla
 237  fi        spellout   %spellout-ordinal-allative               kahdennelle­tuhannennelle­sadannelle­neljännelle­kymmenennelle­kolmannelle
 238  fi        spellout   %spellout-ordinal-allative-plural        kahdennille­tuhannennille­sadannille­neljännille­kymmenennille­kolmannille
 239  fi        spellout   %spellout-ordinal-elative                kahdennesta­tuhannennesta­sadannesta­neljännestä­kymmenennestä­kolmannesta
 240  fi        spellout   %spellout-ordinal-elative-plural         kahdensista­tuhannensista­sadansista­neljänsistä­kymmenensistä­kolmansista
 241  fi        spellout   %spellout-ordinal-essive                 kahdentena­tuhannentena­sadantena­neljäntenä­kymmenentenä­kolmantena
 242  fi        spellout   %spellout-ordinal-essive-plural          kahdensina­tuhannensina­sadansina­neljänsinä­kymmenensinä­kolmansina
 243  fi        spellout   %spellout-ordinal-genitive               kahdennen­tuhannennen­sadannen­neljännen­kymmenennen­kolmannen
 244  fi        spellout   %spellout-ordinal-genitive-plural        kahdensien­tuhannensien­sadansien­neljänsien­kymmenensien­kolmansien
 245  fi        spellout   %spellout-ordinal-illative               kahdenteen­tuhannenteen­sadanteen­neljänteen­kymmenenteen­kolmanteen
 246  fi        spellout   %spellout-ordinal-illative-plural        kahdensiin­tuhannensiin­sadansiin­neljänsiin­kymmenensiin­kolmansiin
 247  fi        spellout   %spellout-ordinal-inessive               kahdennessa­tuhannennessa­sadannessa­neljännessä­kymmenennessä­kolmannessa
 248  fi        spellout   %spellout-ordinal-inessive-plural        kahdensissa­tuhannensissa­sadansissa­neljänsissä­kymmenensissä­kolmansissa
 249  fi        spellout   %spellout-ordinal-partitive              kahdetta­tuhannetta­sadatta­neljättä­kymmenettä­kolmatta
 250  fi        spellout   %spellout-ordinal-partitive-plural       kahdensia­tuhannensia­sadansia­neljänsiä­kymmenensiä­kolmansia
 251  fi        spellout   %spellout-ordinal-plural                 kahdennet­tuhannennet­sadannet­neljännet­kymmenennet­kolmannet
 252  fi        spellout   %spellout-ordinal-translative            kahdenneksi­tuhannenneksi­sadanneksi­neljänneksi­kymmenenneksi­kolmanneksi
 253  fi        spellout   %spellout-ordinal-translative-plural     kahdensiksi­tuhannensiksi­sadansiksi­neljänsiksi­kymmenensiksi­kolmansiksi
 254  fi        ordinal    %digits-ordinal                          2 143.
 255  fil       spellout   %spellout-cardinal                       dalawáng libó’t isáng daán at ápat na pû’t tatló
 256  fil       spellout   %spellout-numbering                      dalawáng libó’t isáng daán at ápat na pû’t tatló
 257  fil       spellout   %spellout-numbering-year                 dalawáng libó’t isáng daán at ápat na pû’t tatló
 258  fil       spellout   %spellout-ordinal                        ika dalawáng libó’t isáng daán at ápat na pû’t tatló
 259  fil       ordinal    %digits-ordinal                          ika2,143
 260  fo        spellout   %spellout-cardinal-feminine              tvey tusin og eitt­hundrað­og­fýrati­tríggjar
 261  fo        spellout   %spellout-cardinal-masculine             tvey tusin og eitt­hundrað­og­fýrati­tríggir
 262  fo        spellout   %spellout-cardinal-neuter                tvey tusin og eitt­hundrað­og­fýrati­trý
 263  fo        spellout   %spellout-numbering                      tvey tusin og eitt­hundrað­og­fýrati­tríggir
 264  fo        spellout   %spellout-numbering-year                 tjúgo­ein­hundrað­og­fýrati­tríggir
 265  fo        ordinal    %digits-ordinal                          2.143.
 266  fr        spellout   %spellout-cardinal-feminine              deux mille cent quarante-trois
 267  fr        spellout   %spellout-cardinal-masculine             deux mille cent quarante-trois
 268  fr        spellout   %spellout-numbering                      deux mille cent quarante-trois
 269  fr        spellout   %spellout-numbering-year                 deux mille cent quarante-trois
 270  fr        spellout   %spellout-ordinal-feminine               deux mille cent quarante-troisième
 271  fr        spellout   %spellout-ordinal-feminine-plural        deux mille cent quarante-troisièmes
 272  fr        spellout   %spellout-ordinal-masculine              deux mille cent quarante-troisième
 273  fr        spellout   %spellout-ordinal-masculine-plural       deux mille cent quarante-troisièmes
 274  fr        ordinal    %digits-ordinal                          2 143e
 275  fr        ordinal    %digits-ordinal-feminine                 2 143e
 276  fr        ordinal    %digits-ordinal-feminine-plural          2 143es
 277  fr        ordinal    %digits-ordinal-masculine                2 143e
 278  fr        ordinal    %digits-ordinal-masculine-plural         2 143es
 279  ga        spellout   %spellout-cardinal                       dhá mhíle, céad daichead a trí
 280  ga        spellout   %spellout-numbering                      dhá mhíle, céad daichead a trí
 281  ga        spellout   %spellout-numbering-year                 fiche a haon daichead a trí
 282  ga        ordinal    %digits-ordinal                          2,143ú
 283  gu        spellout   %spellout-cardinal                       બે હજાર એક સો ત્રેતાલીસ
 284  gu        spellout   %spellout-numbering                      બે હજાર એક સો ત્રેતાલીસ
 285  gu        spellout   %spellout-numbering-year                 બે હજાર એક સો ત્રેતાલીસ
 286  gu        spellout   %spellout-ordinal-feminine               બે હજાર એક સો ત્રેતાલીસમી
 287  gu        spellout   %spellout-ordinal-masculine              બે હજાર એક સો ત્રેતાલીસમું
 288  gu        ordinal    %digits-ordinal                          2,143મા
 289  gu        ordinal    %digits-ordinal-feminine                 2,143મી
 290  gu        ordinal    %digits-ordinal-masculine                2,143મા
 291  gu        ordinal    %digits-ordinal-masculine-oblique        2,143મેં
 292  he        spellout   %spellout-cardinal-feminine              אלפיים מאה ארבעים ושלוש
 293  he        spellout   %spellout-cardinal-feminine-standalone   אלפיים מאה ארבעים ושלוש
 294  he        spellout   %spellout-cardinal-masculine             אלפיים מאה ארבעים ושלושה
 295  he        spellout   %spellout-cardinal-masculine-standalone  אלפיים מאה ארבעים ושלושה
 296  he        spellout   %spellout-construct-feminine             אלפיים מאה ארבעים ושלוש
 297  he        spellout   %spellout-construct-masculine            אלפיים מאה ארבעים ושלושה
 298  he        spellout   %spellout-numbering                      אלפיים מאה ארבעים ושלוש
